Name,Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,Settlement Point Price
Jan,1/3/2018,7,1,N,HB_HOUSTON,HU,46.29
Jan,1/3/2018,7,2,N,HB_HOUSTON,HU,51.26
Jan,1/3/2018,7,3,N,HB_HOUSTON,HU,46.44
Jan,1/3/2018,7,4,N,HB_HOUSTON,HU,50.53
Jan,1/3/2018,8,1,N,HB_HOUSTON,HU,52.43
Jan,1/3/2018,8,2,N,HB_HOUSTON,HU,56.47
Jan,1/3/2018,8,3,N,HB_HOUSTON,HU,57.47
Jan,1/3/2018,8,4,N,HB_HOUSTON,HU,53.08
Jan,1/3/2018,9,1,N,HB_HOUSTON,HU,51.91
Jan,1/3/2018,9,2,N,HB_HOUSTON,HU,46.32
Jan,1/3/2018,9,3,N,HB_HOUSTON,HU,44.91
Jan,1/3/2018,9,4,N,HB_HOUSTON,HU,46.52
Jan,1/3/2018,10,1,N,HB_HOUSTON,HU,68.52
Jan,1/3/2018,10,2,N,HB_HOUSTON,HU,70.02
Jan,1/3/2018,10,3,N,HB_HOUSTON,HU,69.76
Jan,1/3/2018,10,4,N,HB_HOUSTON,HU,69.37
Jan,1/3/2018,11,1,N,HB_HOUSTON,HU,68.24
Jan,1/3/2018,11,2,N,HB_HOUSTON,HU,68
Jan,1/3/2018,11,3,N,HB_HOUSTON,HU,62.28
Jan,1/3/2018,11,4,N,HB_HOUSTON,HU,68.52
Jan,1/3/2018,12,1,N,HB_HOUSTON,HU,69.61
Jan,1/3/2018,12,2,N,HB_HOUSTON,HU,65.11
Jan,1/3/2018,12,3,N,HB_HOUSTON,HU,63.46
Jan,1/3/2018,12,4,N,HB_HOUSTON,HU,61.66
Jan,1/3/2018,13,1,N,HB_HOUSTON,HU,61.47
Jan,1/3/2018,13,2,N,HB_HOUSTON,HU,60.11
Jan,1/3/2018,13,3,N,HB_HOUSTON,HU,55.08
Jan,1/3/2018,13,4,N,HB_HOUSTON,HU,52.12
Jan,1/3/2018,14,1,N,HB_HOUSTON,HU,52.04
Jan,1/3/2018,14,2,N,HB_HOUSTON,HU,50.69
Jan,1/3/2018,14,3,N,HB_HOUSTON,HU,48.88
Jan,1/3/2018,14,4,N,HB_HOUSTON,HU,47.03
Jan,1/3/2018,15,1,N,HB_HOUSTON,HU,45.61
Jan,1/3/2018,15,2,N,HB_HOUSTON,HU,44.67
Jan,1/3/2018,15,3,N,HB_HOUSTON,HU,43.69
Jan,1/3/2018,15,4,N,HB_HOUSTON,HU,42.49
Jan,1/3/2018,16,1,N,HB_HOUSTON,HU,42.25
Jan,1/3/2018,16,2,N,HB_HOUSTON,HU,41.95
Jan,1/3/2018,16,3,N,HB_HOUSTON,HU,41.81
Jan,1/3/2018,16,4,N,HB_HOUSTON,HU,41.8
Jan,1/3/2018,17,1,N,HB_HOUSTON,HU,42.27
Jan,1/3/2018,17,2,N,HB_HOUSTON,HU,42.93
Jan,1/3/2018,17,3,N,HB_HOUSTON,HU,43.4
Jan,1/3/2018,17,4,N,HB_HOUSTON,HU,44.03
Jan,1/3/2018,18,1,N,HB_HOUSTON,HU,45.38
Jan,1/3/2018,18,2,N,HB_HOUSTON,HU,48.07
Jan,1/3/2018,18,3,N,HB_HOUSTON,HU,52.88
Jan,1/3/2018,18,4,N,HB_HOUSTON,HU,58.66
Jan,1/3/2018,19,1,N,HB_HOUSTON,HU,64.52
Jan,1/3/2018,19,2,N,HB_HOUSTON,HU,68.69
Jan,1/3/2018,19,3,N,HB_HOUSTON,HU,66.09
Jan,1/3/2018,19,4,N,HB_HOUSTON,HU,64.22
Jan,1/3/2018,20,1,N,HB_HOUSTON,HU,64.77
Jan,1/3/2018,20,2,N,HB_HOUSTON,HU,66.37
Jan,1/3/2018,20,3,N,HB_HOUSTON,HU,66.35
Jan,1/3/2018,20,4,N,HB_HOUSTON,HU,66.27
Jan,1/3/2018,21,1,N,HB_HOUSTON,HU,69.61
Jan,1/3/2018,21,2,N,HB_HOUSTON,HU,66.83
Jan,1/3/2018,21,3,N,HB_HOUSTON,HU,67.02
Jan,1/3/2018,21,4,N,HB_HOUSTON,HU,63.47
Jan,1/3/2018,22,1,N,HB_HOUSTON,HU,57.21
Jan,1/3/2018,22,2,N,HB_HOUSTON,HU,55.92
Jan,1/3/2018,22,3,N,HB_HOUSTON,HU,54.27
Jan,1/3/2018,22,4,N,HB_HOUSTON,HU,51.94
Jan,1/3/2018,23,1,N,HB_HOUSTON,HU,51.52
Jan,1/3/2018,23,2,N,HB_HOUSTON,HU,51.43
Jan,1/3/2018,23,3,N,HB_HOUSTON,HU,51.27
Jan,1/3/2018,23,4,N,HB_HOUSTON,HU,50.54
